m h "Hm0 toe" Tm1,0t β ht Bt hb B cotad cotaincl cotau gf_d gf_u gf D D50_d D50_u Ac Rc Gc Kr Kt q
10225,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 10316,0 9980,0 9980,0 9980,0 10316,0 10316,0 10316,0 3054,0 36,0 10316,0
466,2551392343048 0,4676625733723414 0,1275997699024812 1,6680610099571815 2,9403838697169444 0,42433357030899627 0,07134224401587284 0,011250823771482874 0,11385863332006567 1,8541441433237325 2,153426609113942 2,822247858470164 0,7257095773555492 0,7273526560682312 0,7332930036875792 0,021253307030675794 0,021952714986443116 0,021687770892805092 0,18343324441180064 0,19150302687590653 0,10790831001362083 0,3658215933083499 0,12133611111111114 0,0008521999683535769
467,2083332960701 0,3706050045529247 0,10224307595205857 0,7828503279229948 10,31968097482622 0,3709296916157447 0,14932711107099 0,10098980987828601 0,257632390557933 1,3252218248220806 1,6817289773419315 7,8635546086961945 0,2842318023875698 0,2826332794079555 0,2772113677405103 0,02590778027378176 0,026446025079884933 0,026481895947799792 0,19957368137486692 0,19815308123529132 0,15061025930659017 0,2125674080437654 0,11766136919816676 0,0056246130088038054
6,0 0,029 0,0120418848 0,2902645345198066 0,0 0,02525485714285715 0,0 -0,27 0,0 0,0 -1,3471506222222223 -5,0 0,33 0,33 0,37999999999999995 0,0 0,0 0,0 -0,21666666666666667 0,0 0,0 0,05114 0,0268 0,0
40,0 0,25 0,0863275 1,2616600791 0,0 0,2 0,0 0,0 0,0 1,25 1,3333333333 1,0 0,4 0,4 0,44 0,0 0,0 0,0 0,1 0,1 0,0 0,21428046153846153 0,0445 1,435e-06
111,1111 0,45 0,115 1,5181818182 0,0 0,4 0,0 0,0 0,0 2,0 2,0 1,5 1,0 1,0 0,95 0,0 0,0 0,0 0,14 0,15 0,0 0,2955139363774075 0,0815 2,47e-05
1000,0 0,6 0,143 1,8427272727 0,0 0,525 0,12 0,0 0,1 2,0 2,72 2,5 1,0 1,0 1,0 0,040972894245745205 0,042 0,042 0,2 0,212 0,18 0,46782500000000005 0,150925 0,000223
1050,0 5,01 1,48 10,64 80,0 5,01 2,031 1,09 2,0 7,0 12,820512820512821 100,0 1,0 1,0 1,0000000000000002 0,259086063078286 0,259086063078286 0,259086063078286 2,5 2,5 1,0 1,0 0,46 0,165
