Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-48.96|111.1111|0.45|0.1631|1.658|0.0|0.45|0.0|-0.13367|0.0|2.0|2.418813048604742|50.0|1.0|1.0|0.9999999999999998|0.0|0.0|0.0|0.137|0.196659|0.0|0|0|1
E-48.97|111.1111|0.45|0.1093|1.6|0.0|0.45|0.0|-0.13367|0.0|2.0|2.53111812593454|50.0|1.0|1.0|0.9999999999999997|0.0|0.0|0.0|0.137|0.196659|0.0|0|0|1
E-48.98|111.1111|0.45|0.1684|1.923|0.0|0.45|0.0|-0.13367|0.0|2.0|2.4102669404517454|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.137|0.196659|0.0|0|0|1
E-48.99|111.1111|0.42|0.1609|1.655|0.0|0.42|0.0|-0.16367|0.0|2.0|2.39142892126852|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.167|0.226659|0.0|0|0|1
E-48.100|111.1111|0.42|0.1015|1.284|0.0|0.42|0.0|-0.16367|0.0|2.0|2.0|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.167|0.226659|0.0|0|0|1
E-48.101|111.1111|0.38|0.143|1.513|0.0|0.38|0.0|-0.20367|0.0|2.0|2.3792170818505336|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.207|0.266659|0.0|0|0|1
E-48.102|111.1111|0.527|0.1144|1.431|0.0|0.527|0.0|-0.01667|0.0|2.0|2.8342379958246346|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.02|0.099659|0.0|0|0|1
E-48.103|111.1111|0.527|0.08075|1.253|0.0|0.527|0.0|-0.01667|0.0|2.0|3.132612931798051|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.02|0.099659|0.0|0|0|1
E-48.104|111.1111|0.48|0.1011|1.423|0.0|0.48|0.0|-0.06367|0.0|2.0|2.7310313286073633|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.067|0.146659|0.0|0|0|1
E-48.105|111.1111|0.48|0.1732|1.654|0.0|0.48|0.0|-0.06367|0.0|2.0|2.489106487148103|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.067|0.146659|0.0|0|0|1
E-48.106|111.1111|0.43|0.1638|1.649|0.0|0.43|0.0|-0.11367|0.0|2.0|2.4406947890818875|50.0|1.0|1.0|0.9999999999999999|0.0|0.0|0.0|0.117|0.196659|0.0|0|0|1
