Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-2.1|1000.0|0.7164999999999999|0.09614|1.188|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4|0.03|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.2|1000.0|0.7164999999999999|0.09449|1.027|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4000000000000001|0.029999999999999995|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.3|1000.0|0.7164999999999999|0.07895|1.344|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.4999999999999998|1.5|0.4|0.4|0.4000000000000001|0.03|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.4|1000.0|0.6835|0.09346|1.189|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4000000000000001|0.03|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.5|1000.0|0.6835|0.09162|1.027|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4|0.03|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.6|1000.0|0.6835|0.07869|1.345|0.0|0.6835|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4000000000000001|0.030000000000000002|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
A-2.7|1000.0|0.7164999999999999|0.06906|1.037|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4000000000000001|0.03|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.8|1000.0|0.7164999999999999|0.06822|0.8964|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.5|1.5|0.4|0.4|0.4000000000000001|0.03|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.9|1000.0|0.7164999999999999|0.05639|1.086|0.0|0.7164999999999999|0.0|0.0|0.0|1.5|1.4999999999999998|1.5|0.4|0.4|0.39999999999999997|0.029999999999999995|0.03|0.03|0.062|0.062|0.09018828506763074|0|0|1
A-2.10|1000.0|0.6835|0.0721|1.035|0.0|0.6835|0.0|0.0|0.0|1.5|1.5000000000000002|1.5|0.4|0.4|0.4|0.029999999999999995|0.03|0.03|0.095|0.095|0.09018828506763074|0|0|1
