Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
F-13.2|1000.0|0.85|0.063|1.1978004842209742|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.3|1000.0|0.85|0.08233333333333333|1.2169881538727758|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.4|1000.0|0.85|0.09666666666666666|1.5795126358046863|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.5|1000.0|0.85|0.12833333333333333|1.624419947755711|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.6|1000.0|0.85|0.158|1.6848406947443628|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.9|1000.0|0.7|0.09999999999999999|1.5893105947758188|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.10|1000.0|0.7|0.13533333333333333|1.6938221571345677|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.11|1000.0|0.7|0.13933333333333334|1.643199369117049|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.18|1000.0|0.85|0.082|1.230460347458083|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.09999999999999992|0.09999999999999992|0.0|0|0|1
F-13.19|1000.0|0.85|0.09933333333333333|1.6031910366515902|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.09999999999999992|0.09999999999999992|0.0|0|0|1
F-13.20|1000.0|0.85|0.12733333333333333|1.6150302370750422|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.09999999999999992|0.09999999999999992|0.0|0|0|1
F-13.21|1000.0|0.85|0.161|1.704844860977092|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.09999999999999992|0.09999999999999992|0.0|0|0|1
F-13.24|1000.0|0.7|0.09766666666666667|1.5925765810995296|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.24999999999999994|0.24999999999999994|0.0|0|0|1
F-13.25|1000.0|0.7|0.13366666666666668|1.7117850819149776|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.24999999999999994|0.24999999999999994|0.0|0|0|1
F-13.26|1000.0|0.7|0.13966666666666666|1.6766757289350855|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|-0.045161290322580656|1.0|1.0|0.0|0.0|0.24999999999999994|0.24999999999999994|0.0|0|0|1
F-13.27|1000.0|0.85|0.03766666666666667|1.1161508261282016|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.28|1000.0|0.85|0.05933333333333333|1.2051489534493238|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.29|1000.0|0.85|0.077|1.2198458919060229|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.30|1000.0|0.85|0.09033333333333333|1.5742054080286558|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.31|1000.0|0.85|0.11766666666666666|1.6685107631258083|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.32|1000.0|0.85|0.14666666666666667|1.7093355921721947|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.35|1000.0|0.7|0.09566666666666666|1.5844116152902523|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.36|1000.0|0.7|0.127|1.6893314259394652|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.37|1000.0|0.7|0.131|1.6607540456069947|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.157|1000.0|0.85|0.04066666666666666|1.109210605190316|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.158|1000.0|0.85|0.06266666666666666|1.1978004842209742|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.159|1000.0|0.85|0.081|1.2239283748106615|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.160|1000.0|0.85|0.09733333333333333|1.5733889114477282|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.161|1000.0|0.85|0.125|1.6676942665448806|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.162|1000.0|0.85|0.15766666666666665|1.726073772081213|0.0|0.85|0.0|0.21666666666666667|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.029999999999999916|0.029999999999999916|0.0|0|0|1
F-13.165|1000.0|0.7|0.10466666666666667|1.6182962233987532|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.166|1000.0|0.7|0.13966666666666666|1.7003541297819895|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-13.167|1000.0|0.7|0.144|1.6587128041546755|0.0|0.7|0.0|0.06666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|0|0|1
F-15.2|100.0|0.2425|0.1666666667|1.7950344733|0.0|0.2425|0.0|-0.0308333333|0.0|3.0|0.77|1.0|1.0|0.0|0.0|0.2416666667|0.4|0.0|0|0|1
