Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Lm0|Kr|Kt|q
F-35.13|13.0|0.83|0.5854|4.234|0.0|0.83|0.0|0.0|0.0|0.1|0.1|1.0|1.0|0.0|0.0|1.4|1.4|0.0|27.9892232621325|0|0|1
G-24.8|20.0|0.16|0.0586|0.9303636|15.0|0.16|0.0|0.08|0.4|1.0|1.0|1.0|1.0|0.0|0.0|0.1|0.1|0.0|1.3514331259636614|0|0|1
D-43.172|1000.0|0.55|0.1648|1.87|0.0|0.55|0.0|0.0|0.0|1.19175359259421|1.19175359259421|1.0|1.0|0.0|0.0|0.019999999999999907|0.019999999999999907|0.0|5.45974491008586|0|0|1
C-34.1|13.0|0.4758909853|0.1014675052|1.3004841692|0.0|0.251572327|0.1677148847|0.0|0.0|2.0|2.0|0.38|0.38|0.04338|0.04338|0.1215932914|0.1257861635|0.6289308176|2.640579691373308|0|0|1
D-22.9|50.0|0.3|0.1709|2.1197924427|0.0|0.3|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.2|0.2|0.0|7.015777674245199|0|0|1
A-39.126|1000.0|0.69|0.1467|2.0|0.0|0.69|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.06|0.06|0.01|0.19|0.18|6.245239966925974|0|0|1
G-2.238|1000.0|0.515|0.1004|1.184|45.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|2.188731779768744|0|0|1
F-38.154|1000.0|0.65|0.12|1.0|0.0|0.5|0.15|0.05|0.0|0.0|-0.5773503|1.0|1.0|0.0|0.0|0.1|0.1|0.0|1.5613099917314934|0|0|1
E-15.416|20.0|0.37|0.1158|1.379|0.0|0.34|0.0|0.04|0.4|1.25|1.25|0.4|0.4|0.0388|0.0388|0.11|0.11|0.17|2.9690510939862684|0|0|1
A-41.38|53.1914017|0.3|0.1236|2.327|0.0|0.3|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.125|0.125|0.2|8.454382752216624|0|0|1
E-15.402|20.0|0.47|0.1276|1.423|0.0|0.44|0.0|0.04|0.4|1.25|1.25|0.4|0.4|0.0388|0.0388|0.14|0.14|0.31|3.1615418802468613|0|0|1
F-11.126|1000.0|0.85|0.08433333333333333|1.0495692413016404|0.0|0.85|0.0|0.25833333333333336|0.6666666666666666|2.0|0.0|1.0|1.0|0.0|0.0|0.03|0.03|0.0|1.7199322050842865|0|0|1
D-43.312|1000.0|0.525|0.1333|1.866|0.0|0.525|0.0|0.0|0.0|0.577350269189626|0.577350269189626|1.0|1.0|0.0|0.0|0.04499999999999993|0.04499999999999993|0.0|5.436412693569424|0|0|1
A-3.77|1000.0|0.485|0.1007|1.756|0.0|0.455|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.13|0.13|0.13|4.814355566663762|0|0|1
F-28.54|1000.0|0.69|0.17|1.992133289|0.0|0.69|0.0|0.1725|0.1|1.3333333333|0.0|1.0|1.0|0.0|0.0|0.305|0.305|0.0|6.196207090870995|0|0|1
C-13.7|1000.0|0.722|0.06768|1.033|0.0|0.722|0.0|0.0|0.0|1.5|1.5|0.47|0.47|0.026|0.026|0.074|0.074|0.07831393070928945|1.6660567177667671|0|0|1
D-44.20|120.0|0.48|0.1367|1.6|0.0|0.48|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.14|0.14|0.0|3.9969535788326236|0|0|1
F-35.1|13.0|0.83|0.441|3.278|0.0|0.83|0.0|0.0|0.0|0.1|0.1|1.0|1.0|0.0|0.0|1.16|1.16|0.0|16.776719273192548|0|0|1
E-15.299|20.0|0.47|0.1213|1.327|0.0|0.44|0.0|-0.04|0.4|1.25|1.25|0.4|0.4|0.0388|0.0388|0.11|0.11|0.24|2.749356042429747|0|0|1
D-37.26|50.1697328|0.21|0.07956|1.126|0.0|0.21|0.0|0.0|0.0|2.72|2.72|1.0|1.0|0.0|0.0|0.094|0.094|0.0|1.9795474670765585|0|0|1
D-43.115|1000.0|0.5|0.1877|1.826|0.0|0.5|0.0|0.0|0.0|1.7320508075688774|1.7320508075688774|1.0|1.0|0.0|0.0|0.06999999999999995|0.06999999999999995|0.0|5.205838433990518|0|0|1
E-48.49|96.77419|0.36|0.1547|1.66|0.0|0.36|0.0|-0.18365|0.0|2.0|50.0|1.0|1.0|0.0|0.0|0.187|0.226699|0.0|4.302345813215303|0|0|1
A-35.184|1000.0|0.75|0.26|1.6181818182|0.0|0.75|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.051|0.051|0.35|0.35|0.204|4.0883095685233295|0|0|1
A-42.38|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.04698|0.04698|0.10125|0.1215|0.24975|2.4852716288052155|0|0|1
D-45.69|111.1111|0.45|0.1649|1.655|0.0|0.45|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.13|0.19|0.0|4.276467100102354|0|0|1
A-39.103|1000.0|0.55|0.1462|1.81818182|0.0|0.55|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.06|0.06|0.15|0.33|0.18|5.16135535488963|0|0|1
G-3.15|1000.0|0.515|0.126|1.275|10.0|0.485|0.13|0.0|0.0|2.0|2.0|0.47|0.47|0.04|0.04|0.1|0.1|0.13|2.5381045553085086|0|0|1
C-28.3|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|2.0|2.0|0.47|0.47|0.047|0.047|0.081|0.1215|0.24975|2.4852716288052155|0|0|1
A-41.148|30.4044944|0.25|0.139|1.999|0.0|0.25|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.175|0.175|0.2|6.23899628826904|0|0|1
G-3.213|1000.0|0.545|0.08478|1.34|60.0|0.515|0.13|0.0|0.0|2.0|2.0|0.47|0.47|0.04|0.04|0.07|0.07|0.13|2.80348822115307|0|0|1
G-3.171|1000.0|0.485|0.1451|1.382|45.0|0.455|0.13|0.0|0.0|2.0|2.0|0.47|0.47|0.04|0.04|0.13|0.13|0.13|2.9819834246477805|0|0|1
D-37.10|50.4442323|0.19|0.1215|1.843|0.0|0.19|0.0|0.0|0.0|2.72|2.72|1.0|1.0|0.0|0.0|0.086|0.114|0.0|5.3032220221047845|0|0|1
E-15.574|20.0|0.37|0.1098|1.585|0.0|0.34|0.0|0.04|0.5|1.25|1.25|0.4|0.4|0.0323|0.0323|0.17|0.17|0.31|3.9223619939776513|0|0|1
E-20.161|20.0|0.16|0.0888|1.1909|0.0|0.16|0.0|0.04|0.4|4.0|4.0|1.0|1.0|0.0|0.0|0.1|0.1|0.0|2.2143166699543504|0|0|1
G-2.83|1000.0|0.545|0.08535|1.272|25.0|0.515|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.07|0.07|0.13|2.5261745856616886|0|0|1
E-48.52|111.1111|0.527|0.08076|1.261|0.0|0.527|0.0|-0.06022|0.0|2.0|50.0|1.0|1.0|0.0|0.0|0.067|0.106557|0.0|2.4826718053620738|0|0|1
F-12.37|1000.0|0.7|0.13999999999999999|1.7550594007041473|0.0|0.7|0.0|0.1499999999999999|1.3333333333333333|2.0|0.0|1.0|1.0|0.0|0.0|0.17999999999999994|0.17999999999999994|0.0|4.80919934041607|0|0|1
A-36.3|500.0|0.296|0.134|1.9809090909|0.0|0.168|0.24|0.0|0.0|2.0|2.0|0.4|0.4|0.068942|0.068942|0.204|0.244|0.372|6.126581697836984|0|0|1
F-38.119|1000.0|0.6|0.15|1.7272727|0.0|0.45|0.15|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.15|0.15|0.0|4.658123051373019|0|0|1
E-20.72|20.0|0.16|0.0889|1.1909|0.0|0.16|0.0|0.08|0.4|2.0|2.0|1.0|1.0|0.0|0.0|0.08|0.08|0.0|2.2143166699543504|0|0|1
E-15.341|20.0|0.47|0.1093|1.31|0.0|0.44|0.0|-0.04|0.65|1.25|1.25|0.4|0.4|0.0388|0.0388|0.11|0.11|0.17|2.6793640768104163|0|0|1
D-28.11|1000.0|4.25|1.101|6.422|0.0|4.25|0.0|0.0|0.0|6.0|6.0|1.0|1.0|0.0|0.0|1.75|1.75|0.0|64.39167782902955|0|0|1
D-43.107|1000.0|0.525|0.03365|0.9326|0.0|0.525|0.0|0.0|0.0|1.7320508075688774|1.7320508075688774|1.0|1.0|0.0|0.0|0.04499999999999993|0.04499999999999993|0.0|1.357938061424126|0|0|1
D-20.98|100.0|0.6|0.18|1.56|0.0|0.6|0.0|0.0|0.0|3.0|3.0|1.0|1.0|0.0|0.0|0.37|0.37|0.0|3.7996039958777623|0|0|1
