Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
B-9.40|100.0|0.3767328|0.1100633|2.074|0.0|0.3767328|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1701698|0.1701698|0.0|0|0|1
B-9.41|100.0|0.3767328|0.0767486|2.9090909|0.0|0.3767328|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1701698|0.1701698|0.0|0|0|1
B-9.42|100.0|0.3752088|0.1017727|2.886|0.0|0.3752088|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1716938|0.1716938|0.0|0|0|1
B-9.50|100.0|0.4075176|0.0947014|2.0053636|0.0|0.4075176|0.0|0.0|0.0|3.5|3.5000000000000004|3.5|0.55|0.55|0.55|0.07924800000000003|0.07924800000000001|0.07924800000000001|0.139385|0.139385|0.0|0|0|1
B-9.51|100.0|0.4062984|0.1109472|2.0053636|0.0|0.4062984|0.0|0.0|0.0|3.5|3.4999999999999996|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1406042|0.1406042|0.0|0|0|1
B-9.52|100.0|0.4102608|0.061021|2.8483636|0.0|0.4102608|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1366418|0.1366418|0.0|0|0|1
B-9.53|100.0|0.406146|0.0760171|2.8483636|0.0|0.406146|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1407566|0.1407566|0.0|0|0|1
B-9.54|100.0|0.4072128|0.0859536|2.8483636|0.0|0.4072128|0.0|0.0|0.0|3.5|3.5|3.5|0.55|0.55|0.55|0.07924800000000001|0.07924800000000001|0.07924800000000001|0.1396898|0.1396898|0.0|0|0|1
B-10.2|1000.0|0.61|0.12|1.3280632411|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.3|1000.0|0.61|0.16|1.3280632411|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.4|1000.0|0.61|0.09|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.5|1000.0|0.61|0.16|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.6|1000.0|0.61|0.2|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07500000000000001|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.7|1000.0|0.61|0.16|1.7075098814|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.8|1000.0|0.61|0.2|1.7075098814|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07500000000000001|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.9|1000.0|0.61|0.16|1.8972332016|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
B-10.10|1000.0|0.61|0.15|1.3280632411|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.11|1000.0|0.61|0.16|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.12|1000.0|0.61|0.19|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.13|1000.0|0.61|0.16|1.7075098814|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.14|1000.0|0.61|0.18|1.7075098814|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.15|1000.0|0.61|0.16|1.8972332016|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.075|0.075|0.075|0.3|0.3|0.1466666667|0|0|1
B-10.16|1000.0|0.61|0.2|1.5177865613|0.0|0.61|0.0|0.0|0.0|2.0|2.0|2.0|0.55|0.55|0.55|0.07500000000000001|0.075|0.075|0.2|0.2|0.1466666667|0|0|1
