Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-28.25|50|0.5|0.154|1.536|1.69|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.035|0.035|0.2|0.2|0.2|0|0|1
A-28.26|50|0.5|0.164|1.676|1.844|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.035|0.035|0.2|0.2|0.2|0|0|1
A-28.27|50|0.5|0.089|1.128|1.241|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.035|0.035|0.2|0.2|0.2|0|0|1
A-28.28|50|0.5|0.118|1.313|1.444|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.035|0.035|0.2|0.2|0.2|0|0|1
A-28.29|50|0.5|0.156|1.546|1.701|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.035|0.035|0.2|0.2|0.2|0|0|1
A-28.30|50|0.5|0.155|1.567|1.724|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.05|0.05|0.2|0.2|0.2|0|0|1
A-28.31|50|0.5|0.181|1.716|1.888|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.05|0.05|0.2|0.2|0.2|0|0|1
A-28.32|50|0.5|0.23|1.905|2.095|0|0.38|0.12|0|0|1.5|1.5|0.4|0.4|0.05|0.05|0.2|0.2|0.2|0|0|1
A-28.33|200|0.431|0.098|1.434|1.578|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.34|200|0.431|0.114|1.572|1.729|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.35|200|0.431|0.127|1.648|1.813|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.36|200|0.431|0.141|1.77|1.947|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.37|200|0.431|0.098|1.434|1.578|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.38|200|0.431|0.112|1.572|1.729|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.39|200|0.431|0.13|1.648|1.813|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.40|200|0.431|0.15|1.77|1.947|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.41|200|0.352|0.148|1.755|1.93|0|0.135|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.19|0.19|0.141|0|0|1
A-28.42|200|0.431|0.17|1.984|2.182|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.046|0.046|0.111|0.111|0.141|0|0|1
A-28.43|200|0.423|0.069|1.099|1.208|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
